player,jn,position,team
Maria Batalova,22,Right Wing,home
Liana Ganeyeva,11,Right Defense,home
Angelina Goncharenko,2,Right Defense,home
Yekaterina Nikolayeva,76,Defense,home
Nina Pirogova,13,Left Defense,home
Lyudmila Belyakova,10,Left Wing,home
Fanuza Kadirova,17,Right Wing,home
Valeria Pavlova,15,Right Wing,home
Anna Shokhina,97,Right Wing,home
Olga Sosina,18,Left Wing,home
Yelena Provorova,19,Right Defense,home
Yekaterina Dobrodeyeva,26,Left Wing,home
Veronika Korzhakova,27,Center,home
Alexandra Vafina,29,Center,home
Valeria Merkusheva,30,Goalie,home
Oxana Bratishcheva,42,Center,home
Anna Shibanova,70,Right Defense,home
Anna Savonina,72,Left Defense,home
Landysh Falyakhova,79,Right Wing,home
Maria Sorokina,69,Goalie,home
Maria Pechnikova,12,Defense,home
Yulia Smirnova,4,Left Defense,home
Polina Luchnikova,87,Left Wing,home
Sarah Forster,3,Left Defense,away
Andrea Brandli,20,Goalie,away
Lara Christen,17,Right Defense,away
Nadine Hofstetter,4,Right Defense,away
Sinja Leemann,22,Left Defense,away
Shannon Sigrist,9,Right Defense,away
Nicole Vallario,16,Right Defense,away
Stefanie Wetli,18,Left Defense,away
Rahel Enzler,21,Left Wing,away
Lena Marie Lutz,71,Right Wing,away
Alina Marti,28,Center,away
Alina Muller,25,Center,away
Kaleigh Quennec,8,Right Wing,away
Evelina Raselli,14,Right Wing,away
Dominique Ruegg,26,Center,away
Noemi Ryhner,24,Left Wing,away
Phoebe Staenz,88,Left Wing,away
Lara Stalder,7,Right Wing,away
Laura Zimmermann,15,Left Wing,away
Nicole Bullo,23,Left Defense,away
Keely Moy,98,Right Wing,away
