game_name,penalty_number,pp_team_name,start_video_clock_seconds,end_video_clock_seconds,start_period,end_period,start_game_clock_seconds,end_game_clock_seconds,goal
2022-02-08 Canada at USA,1,Olympic (Women) - Canada,1278,1314,1,1,386,350,t
2022-02-08 Canada at USA,2,Olympic (Women) - United States,1624,1744,1,1,216,96,f
2022-02-08 Canada at USA,3,Olympic (Women) - United States,409,562,2,2,991,871,f
2022-02-08 Canada at USA,4,Olympic (Women) - United States,898,898,2,2,613,506,t
2022-02-08 Canada at USA,5,Olympic (Women) - United States,1690,1927,2,2,272,152,f
2022-02-08 Canada at USA,6,Olympic (Women) - United States,1081,1146,3,3,600,480,f
2022-02-08 Canada at USA,7,Olympic (Women) - United States,1837,1957,3,3,157,37,f
2022-02-08 ROC at Finland,1,Olympic (Women) - Finland,1671,1740,1,1,192,104,t # Two Roughing penalties at 123 had no effect (perhaps match penalties)
2022-02-08 ROC at Finland,2,Olympic (Women) - Olympic Athletes from Russia,222,260,2,2,1059,1021,f
2022-02-08 ROC at Finland,4,Olympic (Women) - Finland,946,980,2,2,597,563,t
2022-02-08 ROC at Finland,5,Olympic (Women) - Olympic Athletes from Russia,1707,1827,2,2,458,338,f
2022-02-08 ROC at Finland,6,Olympic (Women) - Finland,418,534,3,3,884,764,f
2022-02-12 Switzerland at ROC,1,Olympic (Women) - Switzerland,563,682,1,1,748,628,f
2022-02-12 Switzerland at ROC,2,Olympic (Women) - Olympic Athletes from Russia,960,1106,1,1,492,372,f
2022-02-12 Switzerland at ROC,3,Olympic (Women) - Switzerland,1047,1227,3,3,744,624,f
2022-02-12 Switzerland at ROC,4,Olympic (Women) - Olympic Athletes from Russia,1375,1375,3,3,496,376,f
2022-02-12 Switzerland at ROC,5,Olympic (Women) - Olympic Athletes from Russia,2250,2320,3,3,107,37,f
2022-02-14 Switzerland at Canada,1,Olympic (Women) - Switzerland,1816,2035,1,1,312,192,f
2022-02-14 Switzerland at Canada,2,Olympic (Women) - Switzerland,2115,2204,1,1,172,83,t
2022-02-14 Switzerland at Canada,3,Olympic (Women) - Switzerland,953,1015,2,2,678,616,t
2022-02-14 Switzerland at Canada,4,Olympic (Women) - Canada,1621,1792,2,2,209,89,f
2022-02-14 Switzerland at Canada,5,Olympic (Women) - Switzerland,721,841,3,3,677,557,f
2022-02-14 Switzerland at Canada,6,Olympic (Women) - Canada,,,3,3,51,0,f
2022-02-14 USA at Finland,1,Olympic (Women) - United States,255,363,2,2,1068,981,t
2022-02-14 USA at Finland,2,,586,586,2,2,861,741,f # Two Roughing penalties at 815 had no effect (perhaps match penalties)
2022-02-14 USA at Finland,3,Olympic (Women) - United States,177,298,3,3,1171,1051,f
2022-02-14 USA at Finland,4,Olympic (Women) - Finland,1617,1765,3,3,238,118,f
2022-02-16 Switzerland at Finland,1,Olympic (Women) - Switzerland,816,958,1,1,658,538,f
2022-02-16 Switzerland at Finland,2,Olympic (Women) - Finland,1209,1352,1,1,417,297,f
2022-02-16 Switzerland at Finland,3,Olympic (Women) - Switzerland,1784,67,1,2,67,1146,f
2022-02-16 Switzerland at Finland,4,Olympic (Women) - Switzerland,981,1146,2,2,594,474,f
2022-02-16 Switzerland at Finland,5,Olympic (Women) - Finland,1564,1731,2,2,229,109,f
2022-02-16 Switzerland at Finland,6,Olympic (Women) - Switzerland,223,397,3,3,1028,908,f
2022-02-16 Switzerland at Finland,7,Olympic (Women) - Finland,1322,1364,3,3,378,336,t
2022-02-16 Switzerland at Finland,8,Olympic (Women) - Finland,1759,1895,3,3,171,57,t
